Item,Description,Labor In Minutes,,
R4NXP,,,,
PD4H4,,,,
 DD0ZM8LC000 ,,,,
DD0ZM8LC010 ,,,,
DD0ZM8LC440 ,,,,
REPAIR-DELL-CB-P22T-LVDS-TOUCH,LVDS Cable Repair (Touchscreen),30,,
6KMJY,,,,
REPAIR-DELL-CB-P22T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-DELL-CB-P22T-SCREW-COVER,Screw Cover Replacement,15,,
DL-CB11-3120-BEZELSTICKER,,,,
REPAIR-DELL-CB-P22T-HINGE-L,Left Hinge Repair,30,,
FBZM8003010,,,,
KM6V,,,,
REPAIR-DELL-CB-P22T-HINGE-R,Right Hinge Repair,30,,
FBZM8002010,,,,
42T0J,,,,
REPAIR-DELL-CB-P22T-CAMERA,Webcam Repair,15,,
F9KGF,,,,
DELL-P22T-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-DELL-CB-P22T-PALMREST-BLK,Palmrest Repair,30,,
R36YR,,,,
 RM8HM,,,,
38ZM8TCWI00,,,,
REPAIR-DELL-CB-P22T-PALMREST-BLUE,Blue Palmrest Repair,30,,
38ZM8TCWI30,,,,
 38ZM8TCWI70,,,,
  38ZM8TCWI10 ,,,,
REPAIR-DELL-CB-P22T-WIFI-CARD,Wifi Card Repair,15,,
GPFNK,,,,
784645-005,,,,
04X6007,,,,
20200552,,,,
755529-005,,,,
 KI.WKN01.006 ,,,,
REPAIR-DELL-CB-P22T-LED-BOARD,LED Board Repair,15,,
DAZM8YB34D0,,,,
REPAIR-DELL-CB-P22T-SPEAKERS,Speaker Repair,15,,
5MXYN,,,,
REPAIR-DELL-CB-P22T-DC-JACK,DC Jack Repair,15,,
9F21D,,,,
REPAIR-DELL-CB-P22T-BOTTOMCOVER,Bottom Cover Repair,15,,
XYYH3,,,,
REPAIR-DELL-P22T-BATTERY,Battery Repair,30,,
XKPD0,,,,
 KTCCN,,,,
5R9DD,,,,
REPAIR-DELL-CB-P22T-IO-BOARD,I/O Board Repair,15,,
M90DT,,,,
REPAIR-DELL-CB-P22T-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-DELL-CB-P22T-MOTHERBOARD,Motherboard Repair,15,,
N/A,,,,
REPAIR-DELL-CB-P22T-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-DELL-CB-P22T-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-DELL-CB-P22T-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-DELL-CB-P22T-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-DELL-CB-P22T-MBSWAP,Motherboard Swap,45,,
H4WJ5,,,,
AG-3120-MB01,,,,
,,,,
REPAIR-DELL-CRM3180,Full Unit Repair for Dell CRM3180 (Gen 3),,,
DELL-CRM3180-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-DELL-CRM3180-LCD,LCD Repair,15,,
N116BGE-EA2REVC.2,,,,
REPAIR-DELL-CRM3180-LCD-TOUCH,Touchscreen Repair,15,,
3KWY4,,,,
REPAIR-DELL-CRM3180-BEZEL,Bezel Repair,15,,
0P37K,,,,
REPAIR-DELL-CRM3180-HINGECOVER,Hingecover Repair,15,,
DELL-3180-HINGECOVERSET,,,,
REPAIR-DELL-CRM3180-TOPCOVER,Topcover Repair,30,,
5HR53,,,,
REPAIR-DELL-CRM3180-LVDS,LVDS Cable Repair,30,,
P1NX2,,,,
REPAIR-DELL-CRM3180-HINGESET,Hinge Repair,30,,
DELL-CB11-3180-HINGESET,,,,
REPAIR-DELL-CRM3180-CAMERA,Webcam Repair,15,,
F08KG,,,,
REPAIR-DELL-CRM3180-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
DELL-CRM3180-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-DELL-CRM3180-PALMREST,Palmrest Repair,30,,
VK0VC,,,,
REPAIR-DELL-CRM3180-KEYBOARD,Keyboard Repair,15,,
5XVF4,,,,
REPAIR-DELL-CRM3180-BOTTOM-COVER,Bottom Cover Repair,15,,
YJDF3,,,,
REPAIR-DELL-CRM3180-BATTERY,Battery Repair,30,,
Y07HK,,,,
REPAIR-DELL-CRM3180-DCJACK,DC Jack Repair,15,,
XNJ46,,,,
REPAIR-DELL-CRM3180-MB,Motherboard Repair,30,,
N/A,,,,
REPAIR-DELL-CRM3180-SPEAKER,Speaker Repair,15,,
DW9G6,,,,
REPAIR-DELL-CRM3180-TRACKPAD,Trackpad Repair,15,,
3F43F,,,,
DELL11-3180-TP,,,,
REPAIR-DELL-CRM3180-TRACKPAD-CABLE,Trackpad Cable Repair,15,,
CPFC1,,,,
REPAIR-DELL-CRM3180-HPJ-BOARD,I/O Board Repair,15,,
7YYXC,,,,
REPAIR-DELL-CRM3180-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-DELL-CRM3180-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-DELL-CRM3180-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-DELL-CRM3180-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-DELL-CRM3180-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
,,,,
REPAIR-DELL-CRM3189,Full Unit Repair for Dell CRM3189 (Gen 3),,,
DELL-CRM3189-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-DELL-CRM3189-TOUCHSCREEN,Touchscreen Repair,30,,
798C5-NOANTENNA/LEDBOARD,,,,
KG3NX,,,,
KG3NX-NOFRAME,,,,
REPAIR-DELL-CRM3189-LVDS,,30,,
6HNM6,,,,
REPAIR-DELL-CRM3189-BEZEL,Bezel Repair,30,,
WWP4T,,,,
REPAIR-DELL-CRM3189-CAMERA,Webcam Repair,15,,
F08KG,,,,
REPAIR-DELL-CRM3189-TOPCOVER,Topcover Repair,30,,
PP99H,,,,
REPAIR-DELL-CRM3189-HINGESET,Hinge Repair,30,,
X4PJK,,,,
REPAIR-DELL-CRM3189-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
DELL-CRM3189-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-DELL-CRM3189-PALMREST,Palmrest Repair,30,,
0YFYX,,,,
REPAIR-DELL-CRM3189-KEYBOARD,Keyboard Repair,15,,
HNXPM,,,,
REPAIR-DELL-CRM3189-TRACKPAD,Trackpad Repair,30,,
2F43F ,,,,
DELL11-3189-TP,,,,
REPAIR-DELL-CRM3189-BATTERY,Battery Repair,30,,
Y07HK,,,,
REPAIR-DELL-CRM3189-BOTTOMCOVER,Bottom Cover Repair,15,,
YK5CX,,,,
REPAIR-DELL-CRM3189-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-DELL-CRM3189-SPEAKERS,Speaker Repair,15,,
017PW,,,,
REPAIR-DELL-CRM3189-DC-JACK,DC Jack Repair,15,,
XNJ46,,,,
REPAIR-DELL-CRM3189-HPJ-BOARD,I/O Board Repair,15,,
TRRN8,,,,
7YYXC,,,,
REPAIR-DELL-CRM3189-POWER-BOARD,I/O Board Repair,,,
FGJY4 ,,,,
REPAIR-DELL-CRM3189-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-DELL-CRM3189-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-DELL-CRM3189-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-DELL-CRM3189-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-DELL-CRM3189-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-DELL-CRM5190 EE,Full Unit Repair for Dell CRM5190 EE (Gen 4),,,
DELL-CRM5190-EE-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-DELL-CRM5190-EE-LCD-NON-TOUCH,LCD Repair,15,,
N116BGE-EA2REVC.2-3180,,,,
REPAIR-DELL-CRM5190-EE-LCD-TOUCH,,15,,
B116XTT01.0-HW:2A/FW:0,,,,
REPAIR-DELL-CRM5190-EE-BEZEL-NON-TOUCH,Bezel Repair,15,,
0814F,,,,
REPAIR-DELL-CRM5190-EE-BEZEL-TOUCH,Bezel Repair (Touchscreen),15,,
85NKG,,,,
REPAIR-DELL-CRM5190-EE-CAMERA,Webcam Repair,15,,
F08KG-3180,,,,
REPAIR-DELL-CRM5190-EE-HINGESET-NON-TOUCH,Hinge Repair,30,,
5190EENONTOUCH-HINGES,,,,
REPAIR-DELL-CRM5190-EE-HINGESET-TOUCH,Hinge Repair (Touchscreen),30,,
5190EETOUCH-HINGES,,,,
REPAIR-DELL-CRM5190-EE-LVDS-NON-TOUCH,LVDS Cable Repair,30,,
Y12N1,,,,
REPAIR-DELL-CRM5190-EE-LVDS-TOUCH,LVDS Cable Repair (Touchscreen),30,,
D453H,,,,
REPAIR-DELL-CRM5190-EE-TOPCOVER,Topcover Repair,30,,
X5MKT,,,,
REPAIR-DELL-CRM5190-EE-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
DELL-CRM5190-EE-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-DELL-CRM5190-EE-PALMREST,Palmrest Repair,30,,
59JT9,,,,
REPAIR-DELL-CRM5190-EE-KEYBOARD,,15,,
0D2DT,,,,
REPAIR-DELL-CRM5190-EE-BOTTOM-COVER,Bottom Cover Repair,15,,
94HWN,,,,
REPAIR-DELL-CRM5190-EE-BATTERY,Battery Repair,30,,
FY8XM,,,,
REPAIR-DELL-CRM5190-EE-BATTERY-CABLE,Battery Cable Repair,15,,
0VM1H,,,,
REPAIR-DELL-CRM5190-EE-WIFI-CARD,Wifi Card Repair,15,,
CH16N,,,,
REPAIR-DELL-CRM5190-EE-SPEAKERS,Speaker Repair,15,,
XPPY3,,,,
REPAIR-DELL-CRM5190-EE-IO-BOARD,I/O Board Repair,15,,
T0RT5,,,,
REPAIR-DELL-CRM5190-EE-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-DELL-CRM5190-EE-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-DELL-CRM5190-EE-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-DELL-CRM5190-EE-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-DELL-CRM5190-EE-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-DELL-CRM5190-EE-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
,,,,
REPAIR-DELL-CRM5190 ,Full Unit Repair for Dell CRM5190  (Gen 4),2-in-1 - NON-EE,,
DELL-CRM5190-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-DELL-CRM5190-TOUCHSCREEN-ASSEMBLY,,30,,
BDZ05,,,,
BDZ06,,,,
K98FW,,,,
REPAIR-DELL-CRM5190-TOPCOVER-NON-EMR,,30,,
6HNKY,,,,
REPAIR-DELL-CRM5190-TOPCOVER-EMR,,30,,
G0HDV,,,,
REPAIR-DELL-CRM5190-CAMERA-FRONT,,15,,
F08KG-3189,,,,
REPAIR-DELL-CRM5190-HINGES,,30,,
DELL-CB11-5190-HINGESET,,,,
REPAIR-DELL-CRM5190-LVDS-CABLE-TOUCH,,30,,
VTGX6,,,,
DELL-CRM5190-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-DELL-CRM5190-PALMREST-WITH-CAM,,30,,
2W44K,,,,
REPAIR-DELL-CRM5190-PALMREST-NO-CAM,,30,,
1K9J0,,,,
REPAIR-DELL-CRM5190-IO-BOARD,,15,,
R0DX9,,,,
REPAIR-DELL-CRM5190-KEYBOARD,,15,,
H06WJ,,,,
REPAIR-DELL-CRM5190-BOTTOMCOVER,,15,,
C5NRC,,,,
REPAIR-DELL-CRM5190-SPEAKERS,,15,,
XPPY3,,,,
REPAIR-DELL-CRM5190-WIFI-CARD,,15,,
CH16N,,,,
REPAIR-DELL-CRM5190-MOTHERBOARD,,30,,
N/A,,,,
REPAIR-DELL-CRM5190-TRACKPAD,,15,,
DELL11-5190-TP,,,,
REPAIR-DELL-CRM5190-REAR-CAM,,30,,
XVRN2,,,,
REPAIR-DELL-CRM5190-BATTERY,,30,,
YW03C,,,,
REPAIR-DELL-CRM5190-SPEAKERS,,15,,
XPPY3,,,,
REPAIR-DELL-CRM5190-BATTERY-CABLE,,15,,
0VM1H,,,,
REPAIR-DELL-CRM5190-CHARGINGPORT-REMOVAL,,15,,
N/A,,,,
REPAIR-DELL-CRM5190-HPJ-REMOVAL,,15,,
N/A,,,,
REPAIR-DELL-CRM5190-OS-RESTORE,,30,,
N/A,,,,
REPAIR-DELL-CRM7310,Full Unit Repair for Dell CRM7310 (Gen 2),,,
DELL-CRM7310-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-DELL-CRM7310-LCD-NON-TOUCH,LCD Repair,15,,
CYWXX,,,,
N133HSE-EA3-REV.C3,,,,
VYT96,,,,
REPAIR-DELL-CRM7310-TOUCHSCREEN,Touchscreen Repair,30,,
DELL13-7310-TS,,,,
REPAIR-DELL-CRM7310-CAMERA,,,,
PVC05,,,,
REPAIR-DELL-CRM7310-BEZEL,Bezel Repair,15,,
TF3P3,,,,
REPAIR-DELL-CRM7310-HINGESET,Hinge Repair,30,,
DL-CB13-7310-HINGESET,,,,
REPAIR-DELL-CRM7310-LVDS-NON-TOUCH,LVDS Cable Repair,30,,
P0XR8,,,,
REPAIR-DELL-CRM7310-LVDS-TOUCH,LVDS Cable Repair (Touchscreen),30,,
4J51K,,,,
REPAIR-DELL-CRM7310-HINGECOVER,Hingecover Repair,15,,
0KY6K,,,,
REPAIR-DELL-CRM7310-TOPCOVER,Topcover Repair,30,,
R358T,,,,
REPAIR-DELL-CRM7310-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
REPAIR-DELL-CRM7310-CAMERA,Webcam Repair,15,,
PVC05,,,,
DELL-CRM7310-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-DELL-CRM7310-PALMREST,Palmrest Repair,30,,
3FDT7,,,,
REPAIR-DELL-CRM7310-KEYBOARD,Keyboard Repair,30,,
NVHD0,,,,
REPAIR-DELL-CRM7310-BATTERY,Battery Repair,30,,
MJMF6,,,,
REPAIR-DELL-CRM7310-TRACKPAD,Trackpad Repair,30,,
DL-CB13-7310-TP,,,,
REPAIR-DELL-CRM7310-WIFI-CARD,Wifi Card Repair,15,,
GPFNK,,,,
REPAIR-DELL-CRM7310-BOTTOMCOVER,Bottom Cover Repair,15,,
YFHP6,,,,
REPAIR-DELL-CRM7310-DC-JACK,DC Jack Repair,15,,
02TWG,,,,
REPAIR-DELL-CRM7310-USB-BOARD,I/O Board Repair,15,,
TTX96,,,,
REPAIR-DELL-CRM7310-SSD-32GB,SSD Repair,30,,
7FM7R,,,,
REPAIR-DELL-CRM7310-SSD-16GB,SSD Repair,30,,
96K9K,,,,
REPAIR-DELL-CRM7310-SPEAKERS,Speaker Repair,15,,
P12WV,,,,
REPAIR-DELL-CRM7310-MOTHERBOARD,Motherboard Repair,30,,
N/A,,,,
REPAIR-DELL-CRM7310-MISSING-KEY,Key Cap Replacement,15,,
N/A,,,,
REPAIR-DELL-CRM7310-OS-RESTORE,Operating System Restore,30,,
N/A,,,,
REPAIR-DELL-CRM7310-CHARGING-PORT-REMOVAL,Charging Port Removal,15,,
N/A,,,,
REPAIR-DELL-CRM7310-HPJ-REMOVAL,Headphone Jack Removal,15,,
N/A,,,,
REPAIR-DELL-CRM7310-CABLE-RESEAT,Cable Reseat,15,,
N/A,,,,
,,,,
REPAIR-DELL-CRM3380,Full Unit Repair for Dell CRM3380 (Gen 3),,,
DELL-CRM3380-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-DELL-CRM3380-LCD-NON-TOUCH,LCD Repair,15,,
HB133WX1-201,,,,
REPAIR-DELL-CRM3380-TOPCOVER,,30,,
F2M02,,,,
REPAIR-DELL-CRM3380-CAMERA,,15,,
WNTY0,,,,
REPAIR-DELL-CRM3380-BEZEL,,15,,
0C3NM,,,,
DELL-CRM3380-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-DELL-CRM3380-PALMREST,,30,,
F27VT,,,,
REPAIR-DELL-CRM3380-BATTERY,,30,,
FMXMT,,,,
REPAIR-DELL-CRM3380-TRACKPAD,,15,,
N8TCC,,,,
REPAIR-DELL-CRM3380-HPJ-BOARD,,15,,
153FW ,,,,
REPAIR-DELL-CRM3380-BOTTOMCOVER,,15,,
THCRY,,,,
REPAIR-DELL-CRM3380-KEYBOARD,,15,,
5XVF4,,,,
REPAIR-DELL-CRM3380-MOTHERBOARD,,30,,
N/A,,,,
REPAIR-DELL-CRM3380-HPJ-REMOVAL,,15,,
N/A,,,,
REPAIR-DELL-CRM3380-CP-REMOVAL,,15,,
N/A,,,,
REPAIR-DELL-3100,Full Unit Repair for Dell CRM3100,,,
DELL-3100-DISPLAY-ASSEMBLY,Display Assembly,,,
REPAIR-DELL-3100-LCD-NTCH,LCD Repair - Non-Touch,15,,PRIMARY
FGF20-3100,,,,
B116XTN02.3-HW:2B/FW:0-3180,,,,
N116BCA-EA1-REVC.1-3180,,,,
NT116WHM-N21-3180,,,,
REPAIR-DELL-3100-LCD-TCH,LCD Repair - Touch,15,,PRIMARY
B116XTK01.0-HW:2A/FW:0,,,,
B116XAK01.1-HW:0A/FW:0,,,,
B116XAK01.1-HW:0A/FW:1,,,,
B116XAK01.0-HW:2A/FW:1,,,,
REPAIR-DELL-3100-LCD-TCH-2IN1,Touchscreen with Digitizer Repair,30,,PRIMARY
45GHC,,,,
REPAIR-DELL-3100-TOPCOVER-NTCH,Topcover Repair - Non-Touch,30,,PRIMARY
P99NW,,,,
REPAIR-DELL-3100-TOPCOVER-TCH,Topcover Repair - Touch,30,,PRIMARY
34YFY,,,,
34YFY-NOWIFICABLE,,,,
34YFY-RECL,,,,
REPAIR-DELL-3100-TOPCOVER-TCH-2IN1,Topcover Repair - 2in1,30,,PRIMARY
279W8,,,,
REPAIR-DELL-3100-BEZEL,Bezel Repair,15,,PRIMARY
6C2J6,,,,
6C2J6-RECL,,,,
REPAIR-DELL-3100-LVDS-NTCH,LVDS Cable Repair - Non-Touch,30,,PRIMARY
V11RY,,,,
V11RY-RECL,,,,
REPAIR-DELL-3100-LVDS-TCH,LVDS Cable Repair - Touch,30,,PRIMARY
TWY13,,,,
TWY13-RECL,,,,
REPAIR-DELL-3100-LVDS-2IN1,LVDS Cable Repair - 2in1,30,,PRIMARY
TYHCF,,,,
TYHCF-RECL,,,,
REPAIR-DELL-3100-CAMERA,Webcam Repair,15,,SECONDARY
G4JK9,,,,
REPAIR-DELL-3100-SENSORBRD-2IN1,Sensor Board Repair,15,,PRIMARY
LS-G852P,,,,
REPAIR-DELL-3100-SENSORCBL-2IN1,Sensor Board Cable Replacement,15,,PRIMARY
YMTM3,,,,
REPAIR-DELL-3100-HINGE-R-2IN1,Right Hinge Repair - 2in1,30,,PRIMARY
YNRFG,,,,
REPAIR-DELL-3100-HINGE-L-2IN1,Left Hinge Repair - 2in1,30,,PRIMARY
R5KMT,,,,
REPAIR-DELL-3100-HINGE-R-TCH,Right Hinge Repair - Touch,30,,PRIMARY
8PKK7,,,,
REPAIR-DELL-3100-HINGE-L-TCH,Left Hinge Repair - Touch,30,,PRIMARY
R5KHK,,,,
REPAIR-DELL-3100-OS-RESTORE,Operating System Restore,30,,PRIMARY
N/A,,,,
REPAIR-DELL-3100-CABLE-RESEAT,Cable Reseat,15,,SECONDARY
N/A,,,,
DELL-3100-TOPCASE-ASSEMBLY,Topcase Assembly,,,
REPAIR-DELL-3100-KEYBOARD,Keyboard Repair,15,,PRIMARY
0D2DT,,,,
REPAIR-DELL-3100-PALMREST-NTCH,Palmrest Repair - Non-Touch,30,,PRIMARY
9X8D7,,,,
9X8D7-RECL,,,,
REPAIR-DELL-3100-PALMREST-TCH,Palmrest Repair - Touch,30,,PRIMARY
TK87M,,,,
TK87M-RECL,,,,
REPAIR-DELL-3100-PALMREST-2IN1,Palmrest Repair - 2in1,30,,PRIMARY
34Y6Y,,,,
REPAIR-DELL-3100-IO-CBL-TCH,I/O Cable Repair - Touch,15,,SECONDARY
F4N98,,,,
REPAIR-DELL-3100-BATTERY,Battery Repair,30,,PRIMARY
FY8XM,,,,
51KD7,,,,
YWD3C,,,,
Y07HK,,,,
REPAIR-DELL-3100-BATTERY-CBL,Battery Cable Repair,15,,PRIMARY
9MJG6,,,,
REPAIR-DELL-3100-TRACKPAD,Trackpad Repair,30,,SECONDARY
DEL3100-TOUCHPAD,,,,
REPAIR-DELL-3100-SPEAKERS,Speaker Repair,30,,SECONDARY
MFX68,,,,
REPAIR-DELL-3100-BOTTOMCOVER,Bottom Cover Repair,15,,PRIMARY
2RY30,,,,
REPAIR-DELL-3100-BOTTOMCOVER-2IN1,Bottom Cover Repair - 2in1,15,,PRIMARY
PPWP2,,,,
REPAIR-DELL-3100-IO-BOARD,USB Board Repair,30,,SECONDARY
G61M2,,,,
REPAIR-DELL-3100-MOTHERBOARD,Motherboard Repair,30,,PRIMARY
N/A,,,,
REPAIR-DELL-3100-HPJ-REMOVAL,Headphone Jack Removal,15,,SECONDARY
N/A,,,,
REPAIR-DELL-3100-CP-REMOVAL,Charging Port Removal,15,,SECONDARY
N/A,,,,
REPAIR-DELL-3100-MISSING-KEY,Key Cap Replacement,15,,SECONDARY
N/A,,,,
REPAIR-DELL-3100-MBSWAP,Motherboard Swap,45,,PRIMARY
GD6HC,4GB non-touch,,,
AG3100-MB01,4GB non-touch,,,
R2K1H,4GB 2IN1,,,
AG-31002IN1-MB01,4GB 2IN1,,,
W1C7C,4GB Touch,,,
