Item,Description,Labor In Minutes
REPAIR-SAMSUNG-XE503C12-LVDS,LVDS Cable Repair,30
BA39-01338A,,
REPAIR-SAMSUNG-XE503C12-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-SAMSUNG-XE503C12-HINGE-L,Left Hinge Repair,30
BA98-00225A,,
REPAIR-SAMSUNG-XE503C12-HINGE-R,Right Hinge Repair,30
BA98-00226A,,
SAMSUNG-XE503C12-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-SAMSUNG-XE503C12-PALMREST,Palmrest Repair,30
BA59-03897A,,
BA96-06861A,,
REPAIR-SAMSUNG-XE503C12-BOTTOMCOVER,Bottom Cover Repair,15
BA98-00268A,,
BA97-07009A,,
REPAIR-SAMSUNG-XE503C12-BATTERY,Battery Repair,30
BA43-00355A,,
AA-PBZN2TP,,
  BA43-00370A,,
REPAIR-SAMSUNG-XE503C12-SPEAKERS,Speaker Repair,15
BA96-06804A,,
REPAIR-SAMSUNG-XE503C12-IO-BOARD,I/O Board Repair,15
BA92-14399A,,
REPAIR-SAMSUNG-XE503C12-MISSING-KEY,Key Cap Repai,15
N/A,,
REPAIR-SAMSUNG-XE503C12-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-SAMSUNG-XE503C12-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-SAMSUNG-XE503C12-CHARGING-PORT-REMOVAL,Charging Port Repair,15
N/A,,
REPAIR-SAMSUNG-XE503C12-HPJ-REMOVAL,Headphone Jack Repair,15
N/A,,
REPAIR-SAMSUNG-XE503C12-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-SAMSUNG-XE503C12-TRACKPAD-CABLE,Trackpad Cable Repair,15
BA41-02458A,,
