Item,Description,Labor In Minutes
90NB0748-R20011,,
REPAIR-ASUS-T100HA-MOTHERBOARD,Motherboard Repair,30
N/A,,
,,
REPAIR-ASUS-C213SA,Full Unit Repair for Asus C213SA,
ASUS-C213SA-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-ASUS-C213SA-TOUCHSCREEN,Touchscreen Repair,30
B116XAK01.2-HW:0A/FW:1,,
REPAIR-ASUS-C213SA-SENSOR-BOARD,Sensor Board Repair,15
90NX01C0-R10021,,
REPAIR-ASUS-C213SA-LVDS,LVDS Cable Repair,30
14005-02450100,,
REPAIR-ASUS-C213SA-BEZEL,Bezel Repair,15
90NX01C1-R7B010,,
REPAIR-ASUS-C213SA-CAMERA,Webcam Repair,15
04081-00098100,,
REPAIR-ASUS-C213SA-TOPCOVER,Topcover Repair,30
90NX01C1-R7A010,,
REPAIR-ASUS-C213SA-CABLE-RESEAT,Cable Reseat,15
N/A,,
ASUS-C213SA-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-ASUS-C213SA-PALMREST,Palmrest Repair,30
13NX01C1AP0401,,
REPAIR-ASUS-C213SA-BATTERY,Battery Repair,30
0B200-02440100,,
REPAIR-ASUS-C213SA-WIFI-CARD,Wifi Card Repair,15
0C012-00110000,,
REPAIR-ASUS-C213SA-BOTTOM-DOOR,Bottom Door Repair,15
13NX01C0AP0201,,
REPAIR-ASUS-C213SA-USB-BOARD,I/O Board Repair,15
90NX01C0-R10011,,
REPAIR-ASUS-C213SA-BOTTOMCASE,Bottomcase Repair,30
90NX01C0-R7D010,,
REPAIR-ASUS-C213SA-TRACKPAD,Trackpad Repair,15
90NX01C0-R90010,,
REPAIR-ASUS-C213SA-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-ASUS-C213SA-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-ASUS-C213SA-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-ASUS-C213SA-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-ASUS-C213SA-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
