part_number,cyma_count,physical_count
BA98-00449A,1,1
BA98-00450A,4,2
BA98-00601A-XX,9,9
BA98-00603A,22,19
CK4ND,15,10
CK4ND-FFF,5,5
CRWW1,1,0
CRWW1-EXCHANGE,1,0
D11G1-HINGECOVER,4,4
DD00G1LC022,9,2
DD00G3LC012,5,5
DD0Y07LC020,2,1
DD0ZM7LC010,3,3
DDNL6ULC001,3,2
DDNL6ULC012,10,10
DDNL6ULC121,1,0
DELL11-3120-GEN2-TP-CABLE,11,5
EAZHN006020,1,0
F08KG-3180,3,1
F2M02-RECL,1,1
G4JK9,1,0
GS31N,3,0
H06WJ-X,5,5
H4WJ5,2,0
HNXPM-X,5,0
HP14A-G5-TD,5,0
IPA201-HB-HC,2,2
IPA2BAT,3,4
IPA2BTFLEX,7,2
IPA2FCAM,4,2
IPA2HPB-WIFI,7,5
IPA2PV-REV2,8,2
IPA302-HB-HC,2,1
IPA3BAT,1,1
IPA3BTFLEX,9,0
IPA3CAMR,4,0
IPA3HPF-DB,4,2
IPA3MIC,30,30
IPA3PV,19,14
IPA3SPK,1,0
IPA4CP,5,5
IPA4HBFLEX,21,5
IPA5HB,32,32
IPA5HBW,32,19
IPA5PV,122,60
IPA6-LCD,94,83
IPA601-HC,104,1
IPA602-HC,3,0
IPA7-LCD,172,119
IPA701-HC,523,3
IPA702-HC,3,0
IPA7CPB,49,33
IPA7CPW,19,18
IPA7HB,74,55
IPA7HBW,21,21
IPA7HPJ,1,0
IPA7HPJ-4G,2,0
IPA7HPJW,28,21
IPA7MIC,2,2
IPA7SPK,1,0
IPA901-HC,12,0
IPAA-5-LCD,77,4
IPAA01-HB-HC,13,0
IPAA01-HC,630,250
IPAA01-HCI,7,0
IPAA02-HB-HC,25,0
IPAA02-HC,1,0
IPAA201-HC-LCD,62,8
IPAA201-HC-LCD-OCA-TD,1,0
IPAA202-HC-LCD,7,0
IPAA2BAT,3,7
IPAA2CAMF,17,17
IPAA2CAMR,58,56
IPAA2CPB,18,17
IPAA2CPW,16,16
IPAA2HBF,19,19
IPAA2HBFW,5,5
IPAA2HPJ,6,5
IPAA2HPJW,18,18
IPAA2PV,17,7
IPAA2SPKR,3,3
IPAA2VB,19,19
IPAA2WIFI,7,1
IPAA301-HC-LCD,1,1
IPAA3BAT,1,1
IPAA401-HC-LCD,1,1
IPAA4CPB,3,3
IPAABAT,67,51
IPAACAMF,51,53
IPAACAMR,51,50
IPAACPB,81,52
IPAACPW,33,26
IPAAGPS,1,8
IPAAHPJ,30,17
IPAAHPJW,24,24
IPAAPV,40,37
IPAASPK,4,3
IPAAWIFI,8,7
IPAD2-LCD-1,6,2
IPADAIR-LCD-1,101,45
IPADM-RET-LCD,8,0
IPADM-RET-LCD-1,4,4
IPAHBW,10,8
IPAM-RET-BAT,2,2
IPAM01-HB-IC,6,6
IPAM2CP,1,1
IPAM2HPB,4,0
IPAM2MIC,2,2
IPAM2PV,2,2
IPAM301-HC-IC,9,0
IPAM3CAMF,6,6
IPAM3CAMR,5,5
IPAM3HBF,10,0
IPAM3HBF-W-CA,2,0
IPAM3HPJ,5,5
IPAM3HPJW,1,3
IPAM3PV,5,5
IPAM3WIFI,4,4
IPAM401-HC-LCD-OCA,4,1
IPAM401-LCD,2,0
IPAM402-LCD,4,4
IPAM4BAT,4,0
IPAM4CAMF,2,2
IPAM4CP,21,21
IPAM4HBF,5,0
IPAM4HBFW,3,0
IPAM4HPJ,7,7
IPAM4PBF,11,10
IPAM4VBF,8,8
IPAM4WIFI,8,8
IPAM501-LCD,9,9
IPAM502-LCD,5,0
IPAM5BAT,5,5
IPAM5HB,5,0
IPAMBAT,4,4
IPAMCAMR,1,0
IPAMGPS,3,3
IPAMHBF,3,3
IPAMHPJ,6,6
IPAMMF,3,3
IPAMPV,1,0
IPAP10-B-LCD,16,12
IPAP1001-HC-LCD-OCA,29,0
IPAP1002-HC-LCD-OCA,1,0
IPAP10BAT,11,10
IPAP10CAMF,3,3
IPAP10CAMR,3,2
IPAP10CP-G,10,7
IPAP10CPW,1,0
IPAP10HBF,20,4
IPAP10PV,10,10
IPAP11-B-LCD,3,2
IPAP11-B-LCD-1,2,0
IPAP11BAT,1,0
IPAP11CAMF,4,4
IPAP11CPB,9,9
IPAP12-B-LCD,1,3
IPAP12-B-LCD-3G,4,0
IPAP12-TG,39,0
IPAP1201-HC-LCD-OCA-2G,1,1
IPAP1202-HC-LCD-OCA-2G,1,0
IPAP12BAT,4,4
IPAP12BAT-2G,2,0
IPAP12HBF,3,3
IPAP9-B-LCD,17,2
IPAP9-TG,120,0
IPAP9-W-LCD,5,5
IPAP901-HC-LCD-OCA,4,0
IPAP901-HC-LCD-OCA-1,12,0
IPAP9BAT,7,1
IPAP9CAMF,8,8
IPAP9CAMR,7,7
IPAP9CP-G,9,9
IPAP9HBF,35,0
IPAP9HPJ,8,8
IPAP9PF,3,3
IPAP9VFC,1,0
JPFMR,4,2
KG3NX,3,0
KR36P,3,3
KTCCN,2,0
L07235-001,1,0
L14329-001,4,4
L14338-001,8,8
L14348-001,24,36
L14355-001,1,0
L14355-001-WITHTPANDCABLE,3,1
L14356-001,7,5
L14356-001-WITHCABLE,4,4
L14908-001,24,24
L14912-001-XX,1,0
L14914-001,1,0
L14915-001-X,13,10
L14921-001-WITHTOUCHPAD/CBL,4,0
L46563-001,1,0
L51319-001-EXCHANGE,1,0
L52572-001,10,11
L52573-001-W/TPANDCABLE,1,0
L75783-005,7,6
L89769-001,36,33
L89771-001,16,16
L89773-001,13,9
L90338-001,8,7
L92334-001,1,0
L92818-001,16,16
LP097X02-SLQ1,1,0
LP116WH8-SPC2,2,0
LP116WH8-SPC2-D,23,16
LP133WP1-TJA7,62,33
LP133WQ3-SJA1,3,0
LP133WQ3-SJA1-Q,9,8
LP133WQ4-SJA1,67,39
LP133WQ5-SJA1,10,6
LP154WP4-TLA1,1,0
LTL097QL01,3,0
LTL097QL02,1,0
LTN133AT09,5,2
LVDS-A1278-12,1,0
MBA-11BEZEL,6,0
MBA-1369-1466-HINGE-CLUTCH-COV,9,0
MBA-A1466-IOBOARD-2013,7,0
MBA-A1466-WIFI,1,0
MBA-A1466-WIFICAM-2013,34,24
MBA-A1932-HINGE-CLUTCH-COV-SG,16,0
MBA-TP-2013,4,0
MBP-1286-HINGE-CLUTCH-COVER,15,0
MBP-RET-BOTTOM-PLATE-13,1,0
MBR-13-2016-CLUTCH-COVER,40,0
MBR13-L16M17-TRK-SG,5,4
MIPA201-HB-HC,8,0
MIPA502-HB-HC,4,0
MIPA502-HC,1,0
MIPA6-LCD,10,0
MIPA601-HC,399,141
MIPA602-HC,92,39
MIPA701-HC,154,61
MIPA702-HC,53,34
MIPAA02-HC,110,48
MIPAM01-HB-IC,10,0
MP5XR-WITHLVDS/HINGES,1,0
N116BCA-EA1-REVC.1,79,0
N116BCN-EA1REV.C1,3,1
N116BCN-EB1-REV.C3,50,0
N116BCN-EB1-REV.C3-G6EETOUCH,9,0
N116BCN-EB1-REV.C3-HP11G5E,3,3
N140BGA-EA3REV.C1,8,5
N140BGA-EA4REV.C2,4,4
N140BGA-EA4REV.C4-WITHBRACKETS,1,1
N140BGN-E42REV.C2,4,0
N140HGA-EA1-REVC3,3,3
NB.SHE11.007,1,0
NT116WHM-A22,26,23
NT116WHM-N10,2,3
NT116WHM-N11,37,0
NT116WHM-N21,23,0
NT116WHM-N21-VER8.0,260,237
NT133WGB-NB1,1,0
NT140WHM-N41,4,0
NV116WHM-A20,2,0
NV116WHM-T00(L&R),1,0
NV116WHM-T01,37,0
OCMUO920,17,0
P1NX2,2,2
P6JMV,19,18
PD4H4,3,2
PHXNH,4,4
PP99H,9,9
QIPAA2BAT-HC,21,0
QIPAABAT-HC,1,0
R36YR,13,12
SB10W67164,15,15
TIPA602-HC,2,0
TK87M,9,0
TOOL-REDTAPE-2MM,2,0
VK0VC,2,1
WD10JPVX-RECERT,1,0
WD7500BPVX-RECERT,1,0
WFFTC,17,14
X4PJK,3,0
XNJ46,16,2
XRY9G,10,9
XYYH3,4,3
YJDF3,3,1
YK5CX,5,6
