cyma_customer_number,,cyma_code,agid,workorder_id,submitted_date,device_status,part_number,serial_number,date_received,assigned_to,repaired_by,date_repaired,hold_reason,protectionplan_id,repair_loc,billing_co,request_id,job,requester,request_datetime,request_status,item_number,return_reason,invoice_number
MANCHESTERACS,,PJ1,2152703490937,152703,11/09/2021,hold,REPAIR-ACER-C871,NXHQEAA001041298B97600,11/11/2021,kdimatteo,,,Logicboard,2531,PA,PA,242528,271618,kdimatteo,03/08/2022,requested parts received and scanned in by tech,KS.0HD0Q.006,,
MANCHESTERACS,,PJ1,2152703490937,152703,11/09/2021,hold,REPAIR-ACER-C871,NXHQEAA001041298B97600,11/11/2021,kdimatteo,,,Logicboard,2531,PA,PA,225058,271618,kdimatteo,01/19/2022,all parts on request used or returned,KL.0C871.SV1,,
#MIDDLETONPA,,PJ1,2152776491143,152776,11/09/2021,hold,REPAIR-IPAD6,DMPYP3PWJF8M,11/12/2021,zpalczer,,,Waiting for Approval,,PA,PA,233976,266761,zpalczer,02/15/2022,requested parts received and scanned in by tech,AIPA601-HC,,
#MIDDLETONPA,,PJ1,2152776491145,152776,11/09/2021,hold,REPAIR-IPAD6,DMPYPMK0JF8M,11/12/2021,zpalczer,,,Waiting for Approval,,PA,PA,233979,266780,zpalczer,02/15/2022,requested parts received and scanned in by tech,AIPA601-HC,,
#MIDDLETONPA,,PJ1,2152776491145,152776,11/09/2021,hold,REPAIR-IPAD6,DMPYPMK0JF8M,11/12/2021,zpalczer,,,Waiting for Approval,,PA,PA,233980,266780,zpalczer,02/15/2022,requested parts received and scanned in by tech,IPA6-LCD,,
BEDFORDCSD,,JG1,2152879491553,152879,11/10/2021,received,REPAIR-LENOVO-300E,P203544U     P29YB8902001,11/15/2021,mfoster,,,,,PA,PA,232867,268285,mfoster,02/10/2022,all parts on request used or returned,AG-300EG1T-CL00R,,
BEDFORDCSD,,JG1,2152879491553,152879,11/10/2021,received,REPAIR-LENOVO-300E,P203544U     P29YB8902001,11/15/2021,mfoster,,,,,PA,PA,246687,268285,mfoster,03/18/2022,all parts on request used or returned,AG-N23-BT00,,
BEDFORDCSD,,JG1,2152879491553,152879,11/10/2021,received,REPAIR-LENOVO-300E,P203544U     P29YB8902001,11/15/2021,mfoster,,,,,PA,PA,262232,268285,mfoster,04/22/2022,all parts on request used or returned,5C10Q93986,,
EUCLIDBOARDOFED,,PJ8,2153046492188,153046,11/11/2021,received,REPAIR-LENOVO-300EG2A,P209LE0K,11/19/2021,kwichterman,,,,,PA,PA,246599,266741,kwichterman,03/18/2022,requested parts received and scanned in by tech,5C50T70714-WITHOUTCABLES,,
EUCLIDBOARDOFED,,PJ8,2153046492188,153046,11/11/2021,received,REPAIR-LENOVO-300EG2A,P209LE0K,11/19/2021,kwichterman,,,,,PA,PA,231132,266741,kwichterman,02/07/2022,all parts on request used or returned,AG-300EG2TAST-BT00,,
EUCLIDBOARDOFED,,PJ8,2153046492188,153046,11/11/2021,received,REPAIR-LENOVO-300EG2A,P209LE0K,11/19/2021,kwichterman,,,,,PA,PA,231133,266741,kwichterman,02/07/2022,all parts on request used or returned,5C50T70714-WITHOUTCABLES,,
BISHOPMCDEVITT,,SB8,2153306493210,153306,11/16/2021,received,REPAIR-LENOVO-14E,MP1GZ34S,11/19/2021,ffagaly,,,,,PA,PA,254115,266085,ffagaly,04/05/2022,requested parts received and scanned in by tech,AG-14E-CL00R,,
BEAUFORTCS,,SB1,2153448493572,153448,11/17/2021,hold,REPAIR-HP-14-G6,5CD017507X,11/19/2021,hweltz,,,Parts,,PA,PA,232598,265129,hweltz,02/10/2022,requested parts received and scanned in by tech,L75783-005,,
BEAUFORTCS,,SB1,2153578494740,153578,11/18/2021,hold,REPAIR-HP-14-G6,5CD0162H14,11/22/2021,kwichterman,,,Parts,,PA,PA,233304,266768,kwichterman,02/11/2022,all parts on request used or returned,L75783-005,,
SPRINGCOVE,,PJ1,2154079496598,154079,11/24/2021,hold,REPAIR-HP-11G7EE,5cd9256q9k,12/03/2021,mfoster,,,Logicboard,,PA,PA,225639,267379,mfoster,01/21/2022,requested parts received and scanned in by tech,AG-11G7EE-CL00R,,
BAYCITYPS,,AB1,2154558498165,154558,12/02/2021,hold,REPAIR-HP-11AG8EE,5CD030F46T,02/02/2022,dcolligan,,,Logicboard,,PA,PA,247332,288912,dcolligan,03/21/2022,requested parts received and scanned in by tech,AG-11AG8EE-US00,,
EUCLIDBOARDOFED,,PJ8,2154938499608,154938,12/07/2021,received,REPAIR-LENOVO-300EG2A,P209M02A,12/08/2021,hweltz,,,,,PA,PA,218718,265469,hweltz,01/04/2022,all parts on request used or returned,5D10T95195,,
EUCLIDBOARDOFED,,PJ8,2155398501403,155398,12/13/2021,received,REPAIR-LENOVO-300EG2A,P209LEAM,12/14/2021,kwichterman,,,,,PA,PA,234063,266917,kwichterman,02/15/2022,requested parts received and scanned in by tech,5CB0U63947,,
NORTHGATESD,,NB1,2155543501994,155543,12/14/2021,received,REPAIR-DELL-CRM3100,JPV9PV2,01/04/2022,cakelley,,,,,PA,PA,223528,270313,cakelley,01/13/2022,requested parts received and scanned in by tech,AG-3100-US00R,,
NORTHGATESD,,NB1,2155543501994,155543,12/14/2021,received,REPAIR-DELL-CRM3100,JPV9PV2,01/04/2022,cakelley,,,,,PA,PA,223529,270313,cakelley,01/13/2022,requested parts received and scanned in by tech,AG-3100T-CB01R,,
CLAYTONVALLEY,,NB1,2155562502078,155562,12/14/2021,received,REPAIR-LENOVO-100EG2,P20459NF,01/04/2022,cakelley,,,,,PA,TX,239883,275800,cakelley,03/01/2022,requested parts received and scanned in by tech,B116XTN02.3-HW:0A/FW:0,,
CLAYTONVALLEY,,NB1,2155562502078,155562,12/14/2021,received,REPAIR-LENOVO-100EG2,P20459NF,01/04/2022,cakelley,,,,,PA,TX,246863,275800,cakelley,03/18/2022,requested parts received and scanned in by tech,AG-100EG2AST-CL00R,,
LANCASTERCOUNTY,,SB8,2155641502356,155641,12/15/2021,hold,REPAIR-LENOVO-500E,P20450Q1,01/04/2022,mfoster,,,Logicboard,,PA,PA,231785,271192,tliburd,02/08/2022,requested parts received and scanned in by tech,5A50Y95951,3,
LANCASTERCOUNTY,,SB8,2155641502356,155641,12/15/2021,hold,REPAIR-LENOVO-500E,P20450Q1,01/04/2022,mfoster,,,Logicboard,,PA,PA,231786,271192,tliburd,02/08/2022,requested parts received and scanned in by tech,5CB0Q79737,,
#MIDDLETONPA,,PJ1,2155841503062,155841,12/17/2021,hold,REPAIR-IPAD6,DMPYP0YSJF8M,01/04/2022,ckelley,,,Waiting for Approval,,PA,PA,236920,276223,ckelley,02/22/2022,requested parts received and scanned in by tech,AIPA601-HC,,
#MIDDLETONPA,,PJ1,2155841503062,155841,12/17/2021,hold,REPAIR-IPAD6,DMPYP0YSJF8M,01/04/2022,ckelley,,,Waiting for Approval,,PA,PA,230825,276223,ckelley,02/03/2022,all parts on request used or returned,IPA6-LCD,,
#MIDDLETONPA,,PJ1,2155841503062,155841,12/17/2021,hold,REPAIR-IPAD6,DMPYP0YSJF8M,01/04/2022,ckelley,,,Waiting for Approval,,PA,PA,236865,276223,ckelley,02/22/2022,all parts on request used or returned,IPAABAT,,
#MIDDLETONPA,,PJ1,2155841503062,155841,12/17/2021,hold,REPAIR-IPAD6,DMPYP0YSJF8M,01/04/2022,ckelley,,,Waiting for Approval,,PA,PA,236898,276223,ckelley,02/22/2022,all parts on request used or returned,IPA5PV,,
BEAUFORTCS,,SB1,2155888503210,155888,12/17/2021,hold,REPAIR-HP-14-G6,5CD0174YLD,01/04/2022,mfoster,,,Parts,,PA,PA,235243,270560,tliburd,02/17/2022,requested parts received and scanned in by tech,AG-14G4-LC00RC,3,
PHENIXCITYBOARD,,PJ1,2155890503226,155890,12/17/2021,received,REPAIR-DELL-CRM3100,43Q7T33,01/12/2022,cakelley,,,,,PA,PA,236801,279820,cakelley,02/22/2022,all parts on request used or returned,51KD7,,
PORTALLEGANY,,PJ1,2156188504371,156188,12/29/2021,received,REPAIR-HP-11-G6-EE,5CD8157JVX,01/06/2022,kdimatteo,,,,,PA,PA,261632,301689,kdimatteo,04/21/2022,requested parts received and scanned in by tech,DD00G1CM022,,
PORTALLEGANY,,PJ1,2156188504371,156188,12/29/2021,received,REPAIR-HP-11-G6-EE,5CD8157JVX,01/06/2022,kdimatteo,,,,,PA,PA,261633,301689,kdimatteo,04/21/2022,requested parts received and scanned in by tech,AG-14G5-CM00R,,
PORTALLEGANY,,PJ1,2156188504371,156188,12/29/2021,received,REPAIR-HP-11-G6-EE,5CD8157JVX,01/06/2022,kdimatteo,,,,,PA,PA,261634,301689,kdimatteo,04/21/2022,requested parts received and scanned in by tech,AG-11G6EE-CL00R,,
PORTALLEGANY,,PJ1,2156189504374,156189,12/29/2021,received,REPAIR-HP-11-G6-EE,5CD9255JWZ,01/06/2022,kdimatteo,,,,,PA,PA,257713,278034,kdimatteo,04/12/2022,requested parts received and scanned in by tech,AG-11G6EE-CL00R,,
BRIDGEWATERRARI,,NB8,2156522505284,156522,01/06/2022,received,REPAIR-LENOVO-300EG2M,p205p7jy,01/12/2022,cakelley,,,,,PA,PA,234182,274311,cakelley,02/15/2022,requested parts received and scanned in by tech,5C10T95191,,
BRIDGEWATERRARI,,NB8,2156522505284,156522,01/06/2022,received,REPAIR-LENOVO-300EG2M,p205p7jy,01/12/2022,cakelley,,,,,PA,PA,246864,274311,cakelley,03/18/2022,requested parts received and scanned in by tech,5D10Y97713,,
TROYCITYSCHOOLS,,PJ1,2156644505639,156644,01/06/2022,hold,REPAIR-HP-11AG8EE,5CD019DPCF,02/14/2022,rsmith,,,Parts,,PA,PA,257351,295684,rsmith,04/11/2022,requested parts received and scanned in by tech,AG-11AG8EE-LB00R,,
TROYCITYSCHOOLS,,PJ1,2156644505673,156644,01/06/2022,received,REPAIR-HP-11AG8EE,5CD019723C,02/14/2022,rsmith,,,,,PA,PA,254982,296316,rsmith,04/06/2022,all parts on request used or returned,L90338-001,,
TROYCITYSCHOOLS,,PJ1,2156644505673,156644,01/06/2022,received,REPAIR-HP-11AG8EE,5CD019723C,02/14/2022,rsmith,,,,,PA,PA,255914,296316,rsmith,04/08/2022,all parts on request used or returned,AG-11AG8EE-LB00R,,
MAYFIELDCITY,,SS1,2156652505708,156652,01/07/2022,hold,REPAIR-HP-11-G5-EE,5CD8200359,03/07/2022,rsmith,,,Waiting for Approval,,PA,PA,250434,292409,rsmith,03/28/2022,all parts on request used or returned,B116XTN02.3-HW:0A/FW:0,,
MTPLEASANTAREA,,JG1,2156667505732,156667,01/07/2022,received,REPAIR-DELL-CRM3100,3BCJ273,01/12/2022,cakelley,,,,,PA,PA,253706,275635,cakelley,04/04/2022,requested parts received and scanned in by tech,AG-3100T-LC00,,
SUNLAKEACADEMY,,JG1,2156680505756,156680,01/07/2022,received,REPAIR-DELL-CRM3380,8msnwn2,03/07/2022,dcolligan,,,,,PA,PA,258525,298080,dcolligan,04/13/2022,requested parts received and scanned in by tech,0C3NM,,
SUNLAKEACADEMY,,JG1,2156680505758,156680,01/07/2022,received,REPAIR-HP-11-G5,8CG7204NLY,03/07/2022,dcolligan,,,,,PA,PA,258316,298941,dcolligan,04/13/2022,requested parts received and scanned in by tech,AG-11G5-PR00RC,3,
SUNLAKEACADEMY,,JG1,2156680505758,156680,01/07/2022,received,REPAIR-HP-11-G5,8CG7204NLY,03/07/2022,dcolligan,,,,,PA,PA,258317,298941,dcolligan,04/13/2022,requested parts received and scanned in by tech,799735-S51,3,
SUNLAKEACADEMY,,JG1,2156680505760,156680,01/07/2022,hold,REPAIR-HP-11-G5,8CG7204NM9,03/07/2022,bgreenawalt,,,Logicboard,,PA,PA,258619,299193,bgreenawalt,04/13/2022,requested parts received and scanned in by tech,AG-11G5-LB00R,,
SUNLAKEACADEMY,,JG1,2156680505760,156680,01/07/2022,hold,REPAIR-HP-11-G5,8CG7204NM9,03/07/2022,bgreenawalt,,,Logicboard,,PA,PA,258621,299193,bgreenawalt,04/13/2022,requested parts received and scanned in by tech,799735-S51,,
SUNLAKEACADEMY,,JG1,2156680505761,156680,01/07/2022,received,REPAIR-HP-11-G5,8CG7204NF8,03/07/2022,bgreenawalt,,,,,PA,PA,258492,297985,bgreenawalt,04/13/2022,requested parts received and scanned in by tech,799735-S51,,
SUNLAKEACADEMY,,JG1,2156680505761,156680,01/07/2022,received,REPAIR-HP-11-G5,8CG7204NF8,03/07/2022,bgreenawalt,,,,,PA,PA,258494,297985,bgreenawalt,04/13/2022,requested parts received and scanned in by tech,AG-11G5-BT00R,,
SUNLAKEACADEMY,,JG1,2156680505761,156680,01/07/2022,received,REPAIR-HP-11-G5,8CG7204NF8,03/07/2022,bgreenawalt,,,,,PA,PA,258495,297985,bgreenawalt,04/13/2022,requested parts received and scanned in by tech,900814-001-X,,
SUNLAKEACADEMY,,JG1,2156680505762,156680,01/07/2022,received,REPAIR-HP-11-G5,8CG7204NML,03/07/2022,bgreenawalt,,,,,PA,PA,256940,297992,bgreenawalt,04/11/2022,requested parts received and scanned in by tech,799735-S51,,
SANDUSKYCOMM,,SB8,2156705505830,156705,01/07/2022,received,REPAIR-LENOVO-300EG2M,P204HBH4,01/12/2022,cakelley,,,,,PA,PA,231510,275619,cakelley,02/07/2022,requested parts received and scanned in by tech,5D10T95195,,
SANDUSKYCOMM,,SB8,2156705505830,156705,01/07/2022,received,REPAIR-LENOVO-300EG2M,P204HBH4,01/12/2022,cakelley,,,,,PA,PA,234648,275619,cakelley,02/16/2022,requested parts received and scanned in by tech,5C10T95191,,
NORTHHILLS,,AB1,2156731505903,156731,01/07/2022,received,REPAIR-MBA-13-2020-A2337,C02FV0Q8Q6L7,01/10/2022,dmelton,,,,,PA,PA,228853,271083,ckalakewich,01/29/2022,requested parts received and scanned in by tech,923-03673,,
NORTHHILLS,,AB1,2156731505903,156731,01/07/2022,received,REPAIR-MBA-13-2020-A2337,C02FV0Q8Q6L7,01/10/2022,dmelton,,,,,PA,PA,228854,271083,ckalakewich,01/29/2022,requested parts received and scanned in by tech,821-03452-A,,
NORTHHILLS,,AB1,2156731505903,156731,01/07/2022,received,REPAIR-MBA-13-2020-A2337,C02FV0Q8Q6L7,01/10/2022,dmelton,,,,,PA,PA,228855,271083,ckalakewich,01/29/2022,requested parts received and scanned in by tech,A2389,,
NORTHHILLS,,AB1,2156731505903,156731,01/07/2022,received,REPAIR-MBA-13-2020-A2337,C02FV0Q8Q6L7,01/10/2022,dmelton,,,,,PA,PA,258189,271083,dmelton,04/13/2022,requested parts received and scanned in by tech,A2337-PB,,
PRIORLAKESAVAGE,,AB1,2156866506314,156866,01/10/2022,hold,REPAIR-HP-14-G4,5CD724B7V2,01/13/2022,kdimatteo,kdimatteo,,Logicboard,,PA,PA,248411,276372,kdimatteo,03/23/2022,all parts on request used or returned,AG-14G4-BC00R,,
VALRICOLAKEAA,,JG1,2157031506899,157031,01/12/2022,hold,REPAIR-LENOVO-300EG2M,P204BWG3,01/27/2022,ffagaly,,,Logicboard,,PA,PA,253646,273931,ffagaly,04/04/2022,requested parts received and scanned in by tech,5A50Y95951,,
NEWBREMENSCHOOL,,JG1,2157044506996,157044,01/12/2022,received,REPAIR-HP-14-G6,5CD0153DSC,01/14/2022,cakelley,,,,,PA,PA,231455,276649,cakelley,02/07/2022,requested parts received and scanned in by tech,AG-14G4-LC00RC,,
NEWBREMENSCHOOL,,JG1,2157044506996,157044,01/12/2022,received,REPAIR-HP-14-G6,5CD0153DSC,01/14/2022,cakelley,,,,,PA,PA,237922,276649,cakelley,02/24/2022,requested parts received and scanned in by tech,DD00GALC101,,
BEAUFORTCS,,SB1,2157105507157,157105,01/12/2022,received,REPAIR-HP-11AG6EE,5CD9388DJZ,01/18/2022,mfoster,,,,,PA,PA,243092,280467,mfoster,03/09/2022,requested parts received and scanned in by tech,L14906-001-TPCBL-X,,
BEAUFORTCS,,SB1,2157105507157,157105,01/12/2022,received,REPAIR-HP-11AG6EE,5CD9388DJZ,01/18/2022,mfoster,,,,,PA,PA,247429,280467,mfoster,03/21/2022,requested parts received and scanned in by tech,L14906-001-TPCBL-X,,
BEAUFORTCS,,SB1,2157113507187,157113,01/12/2022,received,REPAIR-HP-14-G6,5CD01732HW,01/18/2022,mfoster,,,,,PA,PA,245510,280822,mfoster,03/16/2022,requested parts received and scanned in by tech,AG-14G4-LC00RC,,
BEAUFORTCS,,SB1,2157113507187,157113,01/12/2022,received,REPAIR-HP-14-G6,5CD01732HW,01/18/2022,mfoster,,,,,PA,PA,245511,280822,mfoster,03/16/2022,requested parts received and scanned in by tech,DD00GALC101,,
BEAUFORTCS,,SB1,2157114507191,157114,01/12/2022,received,REPAIR-HP-11G7EE,5CD0172YMF,01/18/2022,cakelley,,,,,PA,PA,245544,276912,cakelley,03/16/2022,requested parts received and scanned in by tech,AG-11G7EE-US00,,
BEAUFORTCS,,SB1,2157114507194,157114,01/12/2022,received,REPAIR-LENOVO-100EG2,P202SQ5A,01/18/2022,cakelley,,,,,PA,PA,256248,276916,cakelley,04/08/2022,requested parts received and scanned in by tech,5C50T81842-WITHOUTCABLES,,
PHENIXCITYBOARD,,PJ1,2157334508119,157334,01/18/2022,received,REPAIR-DELL-CRM3100,5sl61p2,01/20/2022,cakelley,,,,,PA,PA,240715,283968,cakelley,03/03/2022,requested parts received and scanned in by tech,51KD7,3,
LANCASTERCOUNTY,,SB8,2157476508595,157476,01/19/2022,received,REPAIR-LENOVO-500EG2,P206KY85,01/24/2022,kwichterman,,,,,PA,PA,244704,287716,kwichterman,03/14/2022,all parts on request used or returned,5C50T70714-WITHOUTCABLES,,
SWCHESTERBOCES,,AB1,2157577509025,157577,01/19/2022,hold,REPAIR-ACER-R751T,NXGNJAA0027280C3017600,01/26/2022,ffagaly,,,Logicboard,,PA,PA,234540,276662,ffagaly,02/16/2022,requested parts received and scanned in by tech,6M.GNJN7.001,,
SWCHESTERBOCES,,AB1,2157577509025,157577,01/19/2022,hold,REPAIR-ACER-R751T,NXGNJAA0027280C3017600,01/26/2022,ffagaly,,,Logicboard,,PA,PA,246619,276662,ffagaly,03/18/2022,requested parts received and scanned in by tech,KS.0HD06.003,,
SWCHESTERBOCES,,AB1,2157577509025,157577,01/19/2022,hold,REPAIR-ACER-R751T,NXGNJAA0027280C3017600,01/26/2022,ffagaly,,,Logicboard,,PA,PA,246688,276662,ffagaly,03/18/2022,requested parts received and scanned in by tech,50.GNJN7.001,,
LANCASTERCOUNTY,,SB8,2157608509154,157608,01/20/2022,received,REPAIR-LENOVO-500E,P20442K8,01/24/2022,mfoster,,,,,PA,PA,251269,291179,mfoster,03/30/2022,requested parts received and scanned in by tech,5D10Q79736-NOEMR,,
LANCASTERCOUNTY,,SB8,2157608509154,157608,01/20/2022,received,REPAIR-LENOVO-500E,P20442K8,01/24/2022,mfoster,,,,,PA,PA,251270,291179,mfoster,03/30/2022,requested parts received and scanned in by tech,AG-500EG2T-CL00R,,
LANCASTERCOUNTY,,SB8,2157608509154,157608,01/20/2022,received,REPAIR-LENOVO-500E,P20442K8,01/24/2022,mfoster,,,,,PA,PA,251272,291179,mfoster,03/30/2022,requested parts received and scanned in by tech,AG-300EG1T-CM00,,
BIRMINGHAMCS,,AB1,2157645509369,157645,01/20/2022,hold,REPAIR-IPAD7,f9fckgcumdg1,01/26/2022,aharbaugh,,,Waiting for Approval,1802,PA,PA,229292,274894,aharbaugh,01/31/2022,requested parts received and scanned in by tech,IPAABAT,,
BIRMINGHAMCS,,AB1,2157645509369,157645,01/20/2022,hold,REPAIR-IPAD7,f9fckgcumdg1,01/26/2022,aharbaugh,,,Waiting for Approval,1802,PA,PA,229313,274894,aharbaugh,01/31/2022,requested parts received and scanned in by tech,AIPA701-HC-W,,
BIRMINGHAMCS,,AB1,2157645509369,157645,01/20/2022,hold,REPAIR-IPAD7,f9fckgcumdg1,01/26/2022,aharbaugh,,,Waiting for Approval,1802,PA,PA,229355,274894,aharbaugh,01/31/2022,requested parts received and scanned in by tech,IPA7-LCD,,
#RICHLANDSD,,PJ1,2157725509681,157725,01/21/2022,hold,REPAIR-HP-11-X360-G3-EE,5CD0237ZH7,01/25/2022,kdimatteo,,,Parts,,PA,PA,242581,278183,kdimatteo,03/08/2022,requested parts received and scanned in by tech,L92203-001,,
SANDUSKYCOMM,,SB8,2157731509687,157731,01/21/2022,received,REPAIR-LENOVO-300EG2,P2099K4R,01/24/2022,kwichterman,,,,,PA,PA,244723,283109,kwichterman,03/14/2022,all parts on request used or returned,5D10T95195,,
SANDUSKYCOMM,,SB8,2157731509687,157731,01/21/2022,received,REPAIR-LENOVO-300EG2,P2099K4R,01/24/2022,kwichterman,,,,,PA,PA,254644,283109,kwichterman,04/06/2022,all parts on request used or returned,AG-300EG2T-CL00R,,
SCHUYLKILLVSD,,NB8,2157870510103,157870,01/24/2022,received,REPAIR-HP-11-G6-EE,5CD8173ZD8,01/26/2022,cakelley,,,,,PA,PA,243035,283473,cakelley,03/09/2022,requested parts received and scanned in by tech,AG-11G6EETOUCH-US00,,
SCHUYLKILLVSD,,NB8,2157870510106,157870,01/24/2022,received,REPAIR-HP-11-G6-EE,5CD8173858,01/26/2022,cakelley,,,,,PA,PA,239246,283456,cakelley,02/28/2022,all parts on request used or returned,L14921-001-WITHTOUCHPAD/CBL,,
#BUCKEYE,,PJ1,2157945510639,157945,01/24/2022,received,REPAIR-ASUS-C204EE,LANXCV12A040435,01/31/2022,kwichterman,,,,,PA,PA,240500,283561,kwichterman,03/03/2022,all parts on request used or returned,AG-C204EE-PR00RC,,
#BUCKEYE,,PJ1,2157945510639,157945,01/24/2022,received,REPAIR-ASUS-C204EE,LANXCV12A040435,01/31/2022,kwichterman,,,,,PA,PA,240501,283561,kwichterman,03/03/2022,all parts on request used or returned,AG-C204EE-BT00,,
GERMANTOWNMUNSD,,AB1,2158016510852,158016,01/25/2022,hold,REPAIR-LENOVO-300EG2M,P204RSLM,01/31/2022,bpearce,,,Logicboard,,PA,PA,245715,287989,bpearce,03/16/2022,all parts on request used or returned,5D10T95195-X,,
GERMANTOWNMUNSD,,AB1,2158016510852,158016,01/25/2022,hold,REPAIR-LENOVO-300EG2M,P204RSLM,01/31/2022,bpearce,,,Logicboard,,PA,PA,245716,287989,bpearce,03/16/2022,all parts on request used or returned,5H50T95189,,
GERMANTOWNMUNSD,,AB1,2158016510852,158016,01/25/2022,hold,REPAIR-LENOVO-300EG2M,P204RSLM,01/31/2022,bpearce,,,Logicboard,,PA,PA,245717,287989,bpearce,03/16/2022,all parts on request used or returned,AG-300EG2TAST-LB00,,
TETONCSD401,,NB8,2158062511029,158062,01/25/2022,hold,REPAIR-LENOVO-N22,11111,01/31/2022,bpearce,,,Logicboard,,PA,PA,246818,289564,bpearce,03/18/2022,all parts on request used or returned,AG-N22T-DC00R,,
PHENIXCITYBOARD,,PJ1,2158079511198,158079,01/26/2022,hold,REPAIR-DELL-CRM3100,8n1yb73,01/28/2022,bpearce,,,Parts,,PA,PA,254381,287289,bpearce,04/06/2022,requested parts received and scanned in by tech,AG-3100-BC00R,,
