Item,Description,Labor In Minutes
788639-001,,
788699-001,,
REPAIR-HP-11-G3-TRACKPAD,Trackpad Cable Repair,15
783086-001,,
REPAIR-HP-11-G3-BOTTOMCASE,Bottomcase Repair,30
784191-001,,
32Y07TP703,,
REPAIR-HP-11-G3-BATTERY,Battery Repair,30
767068-005,,
767068-001,,
766801-421,,
REPAIR-HP-11-G3-DC-JACK,DC Jack Repair,15
787922-001,,
778634-FD1,,
REPAIR-HP-11-G3-WIFI-CARD,Wifi Card Repair,15
755529-001,,
REPAIR-HP-11-G3-SPEAKERS,Speaker Repair,15
788555-001,,
38Y07TP00,,
REPAIR-HP-11-G3-SD-READER,SD Card Reader Repair,15
785884-001,,
DA0Y07TB4E1 ,,
REPAIR-HP-11-G3-RUBBER-FEET,Rubber Feet Replacement,15
773211-001,,
REPAIR-HP-11-G3-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-11-G3-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-11-G3-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-11-G3-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-11-G3-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-11-G3-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-HP-11-G4,Full Unit Repair for HP 11 G4,
HP-11-G4-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-11-G4-LCD,LCD Repair,15
NT116WHM-N21,,
NT116WHM-N11,,
N116BGE-EA2REVC.3,,
B116XTN02.3-HW:2A/FW:0,,
REPAIR-HP-11-G4-BEZEL,Bezel Repair,15
773210-001,,
36Y06TP003,,
REPAIR-HP-11-G4-TOPCOVER,Topcover Repair,30
794732-001,,
794732-001-X ,,
35Y07TP303 ,,
REPAIR-HP-11-G4-CAMERA,Webcam Repair,15
783088-001,,
DY09701,,
REPAIR-HP-11-G4-LVDS,LVDS Cable Repair,30
783083-001,,
DD0Y07LC010 ,,
DD0Y07LC020 ,,
REPAIR-HP-11-G4-HINGESET,Hinge Repair,30
761972-001,,
REPAIR-HP-11-G4-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-HP-11-G4-WIFI-ANTENNA,Wifi Cable Repair,30
783075-001,,
HP-11-G4-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-11-G4-PALMREST,Palmrest Repair,15
788639-001,,
788699-001,,
REPAIR-HP-11-G4-TRACKPAD,Trackpad Repair,15
783086-001,,
REPAIR-HP-11-G4-BOTTOMCASE,Bottomcase Repair,30
784191-001,,
32Y07TP703,,
REPAIR-HP-11-G4-BATTERY,Battery Repair,30
767068-005,,
767068-001,,
766801-421,,
REPAIR-HP-11-G4-DC-JACK,DC Jack Repair,15
787922-001,,
778634-FD1,,
REPAIR-HP-11-G4-WIFI-CARD,Wifi Card Repair,15
784645-005,,
755529-005,,
 04X6007,,
KI.WKN01.006,,
GPFNK,,
20200552,,
REPAIR-HP-11-G4-SPEAKERS,Speaker Repair,15
788555-001,,
38Y07TP00,,
REPAIR-HP-11-G4-SD-READER,SD Card Reader Repair,15
785884-001,,
DA0Y07TB4E1 ,,
REPAIR-HP-11-G4-RUBBER-FEET,Rubber Feet Replacement,15
773211-001,,
REPAIR-HP-11-G4-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-11-G4-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-11-G4-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-11-G4-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-11-G4-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-11-G4-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-HP-11-G4-TRACKPAD-CABLE,Trackpad Cable Repair,15
HP11-G4-TP-CABLE,,
,,
REPAIR-HP-11-G4-EE,Full Unit Repair for HP 11 G4-EE,
HP-11-G4-EE-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-11-G4-EE-LCD,LCD Repair,15
NT116WHM-N21,,
NT116WHM-N11,,
N116BGE-EA2REVC.3,,
B116XTN02.3-HW:2A/FW:0,,
REPAIR-HP-11-G4-EE-BEZEL,Bezel Repair,15
851137-001,,
REPAIR-HP-11-G4-EE-TOPCOVER,Topcover Repair,30
851131-001,,
 HP11G4EE-TOP-BLK,,
REPAIR-HP-11-G4-EE-CAMERA,Webcam Repair,15
783088-001,,
DY09701,,
REPAIR-HP-11-G4-EE-LVDS,LVDS Cable Repair,30
783083-001,,
DD0Y07LC010 ,,
DD0Y07LC020 ,,
REPAIR-HP-11-G4-EE-HINGESET,Hinge Repair,30
783085-001,,
851138-001,,
REPAIR-HP-11-G4-EE-CABLE-RESEAT,Cable Reseat,15
N/A,,
HP-11-G4-EE-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-11-G4-EE-PALMREST,Palmrest Repair,15
851145-001,,
851145-001-NOTOUCHPAD,,
REPAIR-HP-11-G4-EE-TRACKPAD,Trackpad Repair,15
851139-001,,
REPAIR-HP-11-G4-EE-BOTTOMCASE,Bottomcase Repair,30
851133-001,,
REPAIR-HP-11-G4-EE-BATTERY,Battery Repair,30
767068-005,,
767068-001,,
766801-421,,
REPAIR-HP-11-G4-EE-DC-JACK,DC Jack Repair,15
787922-001,,
778634-FD1,,
REPAIR-HP-11-G4-EE-WIFI-CARD,Wifi Card Repair,15
784645-005,,
755529-005,,
 04X6007,,
KI.WKN01.006,,
GPFNK,,
20200552,,
REPAIR-HP-11-G4-EE-SPEAKERS,Speaker Repair,15
788555-001,,
38Y07TP00,,
REPAIR-HP-11-G4-EE-SD-READER,SD Card Reader Repair,15
785884-001,,
DA0Y07TB4E1 ,,
REPAIR-HP-11-G4-EE-RUBBER-FEET,Rubber Feet Replacement,15
851140-001,,
REPAIR-HP-11-G4-EE-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-11-G4-EE-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-11-G4-EE-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-11-G4-EE-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-11-G4-EE-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-11-G4-EE-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-HP-11-G4-EE-TRACKPAD-CABLE,Trackpad Cable Repair,15
HP11-G4EE-TP-CABLE,,
REPAIR-HP-11-G4-EE-MB-SWAP-4GB,Motherboard Swap 4GB,45
790940-001,,
822636-001,,
851143-001,,
AG-11G4-MB01,,
REPAIR-HP-11-G4-EE-MB-SWAP-2GB,Motherboard Swap 2GB,45
790939-001,,
822635-001,,
851142-001,,
,,
REPAIR-HP-11-G5,Full Unit Repair for HP 11 G5,
HP-11-G5-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-11-G5-LCD-NON-TOUCH,LCD Repair,15
NT116WHM-N21,,
NT116WHM-N11,,
N116BGE-EA2REVC.3,,
B116XTN02.3-HW:2A/FW:0,,
REPAIR-HP-11-G5-LCD-TOUCH,Touchscreen Repair,30
901252-001,,
 906629-001,,
901252-001-NOFRAME,,
906957-001,,
REPAIR-HP-11-G5-BEZEL,Bezel Repair,15
902764-001,,
REPAIR-HP-11-G5-TOPCOVER,Topcover Repair,30
901788-001,,
REPAIR-HP-11-G5-TOPCOVER-TOUCH,Topcover Repair (Touchscreen),30
906716-001,,
REPAIR-HP-11-G5-CAMERA-MIC,Microphone Repair,15
756761-037,,
REPAIR-HP-11-G5-LVDS-NON-TOUCH,LVDS Cable Repair,30
900812-001,,
REPAIR-HP-11-G5-LVDS-TOUCH,LVDS Cable Repair (Touchscreen),30
906717-001,,
REPAIR-HP-11-G5-HINGESET,Hinge Repair,30
900845-001,,
REPAIR-HP-11-G5-HINGESET-TOUCH,Hinge Repair (Touchscreen),30
901604-001,,
REPAIR-HP-11-G5-SENSOR-BOARD,Sensor Board Repair,30
901252-001-SENSORBOARD,,
REPAIR-HP-11-G5-TOUCHSCREEN-BRACKET,Touchscreen Bracket Repair,30
917435-001,,
REPAIR-HP-11-G5-CABLE-RESEAT,Cable Reseat,15
N/A,,
HP-11-G5-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-11-G5-PALMREST,Palmrest Repair,15
900818-001,,
REPAIR-HP-11-G5-BOTTOMCASE,Bottomcase Repair,30
901284-001,,
REPAIR-HP-11-G5-BATTERY,Battery Repair,30
855710-001,,
REPAIR-HP-11-G5-DC-JACK,DC Jack Repair,15
799735-Y51,,
808155-013,,
REPAIR-HP-11-G5-WIFI-CARD,Wifi Card Repair,15
901229-855,,
REPAIR-HP-11-G5-SPEAKERS,Speaker Repair,15
900817-001,,
REPAIR-HP-11-G5-IO-BOARD,I/O Board Repair,15
900816-001,,
REPAIR-HP-11-G5-IO-CABLE,I/O Board Cable Repair,15
900811-001,,
REPAIR-HP-11-G5-RUBBER-FEET,Rubber Feet Replacement,15
901282-001,,
REPAIR-HP-11-G5-TRACKPAD,Trackpad Repair,15
783086-001,,
REPAIR-HP-11-G5-TRACKPAD-CABLE,,15
900814-001,,
REPAIR-HP-11-G5-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-11-G5-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-11-G5-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-11-G5-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-11-G5-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-11-G5-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-HP-11-G5-TRACKPAD-RIBBON,Trackpad Cable Repair,15
900814-001,,
REPAIR-HP-11-G5-EE,Full Unit Repair for HP 11 G5-EE,
HP-11-G5-EE-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-11-G5-EE-LCD-NON-TOUCH,LCD Repair,15
912370-003,,
NT116WHM-N21,,
NT116WHM-N11,,
N116BGE-EA2REVC.3,,
B116XTN02.3-HW:2A/FW:0,,
REPAIR-HP-11-G5-EE-LCD-TOUCH,Touchscreen Repair,15
B116XAK01.1-HW:0A/FW:0-HP11G5E,,
B116XAK01.1-HW:2A/FW:0,,
B116XAK01.1-HW:0A/FW:0,,
B116XAK01.2-HW:0A/FW:1,,
REPAIR-HP-11-G5-EE-BEZEL,Bezel Repair,15
917430-001,,
REPAIR-HP-11-G5-EE-TOPCOVER,Topcover Repair,30
917426-001,,
REPAIR-HP-11-G5-EE-LVDS,LVDS Cable Repair,30
917431-001,,
DDNL6ULC001,,
REPAIR-HP-11-G5-EE-LVDS-TOUCH,LVDS Cable Repair (Touchscreen),30
g6,,
REPAIR-HP-11-G5-EE-HINGESET,Hinge Repair,30
917434-001,,
HP-11-G5-EE-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-11-G5-EE-PALMREST,Palmrest Repair,15
917442-001-NOTOUCHPAD,,
917442-001,,
REPAIR-HP-11-G5-EE-TRACKPAD,Trackpad Repair,15
917437-001,,
REPAIR-HP-11-G5-EE-TRACKPAD-CABLE,Trackpad Cable Repair,15
HP11-G5EE-TP-CABLE,,
REPAIR-HP-11-G5-EE-SPEAKERS,Speaker Repair,15
917440-001,,
REPAIR-HP-11-G5-EE-BOTTOMCOVER,Bottom Cover Repair,30
917428-001,,
REPAIR-HP-11-G5-EE-BATTERY,Battery Repair,30
918669-855,,
REPAIR-HP-11-G5-EE-USB-BOARD,I/O Board Repair,15
917436-001,,
REPAIR-HP-11-G5-EE-DC-JACK,DC Jack Repair,15
920842-001,,
REPAIR-HP-11-G5-EE-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-11-G5-EE-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-11-G5-EE-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-11-G5-EE-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-11-G5-EE-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-11-G5-EE-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-HP-11-G6-EE,Full Unit Repair for HP 11 G6-EE,
HP-11-G6-EE-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-11-G6-EE-LCD-NON-TOUCH,LCD Repair,15
N116BGE-EA2REVC.2,,
912370-003,,
NT116WHM-N21,,
NT116WHM-N11,,
N116BGE-EA2REVC.3,,
B116XTN02.3-HW:2A/FW:0,,
REPAIR-HP-11-G6-EE-LCD-TOUCH,Touchscreen Repair,15
B116XAK01.1-HW:2A/FW:0,,
B116XAK01.1-HW:0A/FW:0,,
B116XAK01.2-HW:0A/FW:1,,
REPAIR-HP-11-G6-EE-BEZEL,Bezel Repair,15
L14912-001,,
REPAIR-HP-11-G6-EE-HINGESET,Hinge Repair,30
L14907-001,,
REPAIR-HP-11-G6-EE-TOPCOVER,Topcover Repair,30
L14908-001,,
REPAIR-HP-11-G6-EE-LCD-BRACKET,LCD Bracket Repair,30
L14913-001,,
REPAIR-HP-11-G6-EE-CAMERA-MIC,Webcam Repair,15
L07235-001,,
REPAIR-HP-11-G6-EE-LVDS-NON-TOUCH,LVDS Cable Repair,30
L14914-001,,
REPAIR-HP-11-G6-EE-LVDS-TOUCH,LVDS Cable Repair (Touchscreen),30
L14915-001,,
REPAIR-HP-11-G6-EE-CABLE-RESEAT,Cable Reseat,15
N/A,,
HP-11-G6-EE-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-11-G6-EE-PALMREST,Palmrest Repair,15
L14921-001,,
REPAIR-HP-11-G6-EE-BOTTOMCASE,Bottomcase Repair,30
L14901-001,,
REPAIR-HP-11-G6-EE-TRACKPAD,Trackpad Repair,15
L14922-001,,
REPAIR-HP-11-G6-EE-IO-BOARD,I/O Board Repair,15
L14923-001,,
REPAIR-HP-11-G6-EE-SPEAKERS,Speaker Repair,15
L14920-001,,
REPAIR-HP-11-G6-EE-BATTERY,Battery Repair,30
917725-855,,
REPAIR-HP-11-G6-EE-WIFI-CARD,Wifi Card Repair,15
901229-855,,
REPAIR-HP-11-G6-EE-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-11-G6-EE-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-11-G6-EE-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-11-G6-EE-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-11-G6-EE-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-11-G6-EE-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-HP-11-X360-G1-EE,Full Unit Repair for HP 11 X360 G1 EE,
HP-11-X360-G1-EE-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-11-X360-G1-EE-TOUCHSCREEN,Touchscreen Repair,30
928588-001-NOFRAME,,
928588-001,,
REPAIR-HP-11-X360-G1-EE-CAMERA,Webcam Repair,15
928088-001,,
REPAIR-HP-11-X360-G1-EE-TOPCOVER,Topcover Repair,30
928078-001,,
REPAIR-HP-11-X360-G1-EE-HINGESET,Hinge Repair,30
928087-001,,
REPAIR-HP-11-X360-G1-EE-CABLE-RESEAT,Cable Reseat,15
N/A,,
REPAIR-HP-11-X360-G1-EE-LVDS,LVDS Cable Repair,30
928086-001,,
HP-11-X360-G1-EE-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-11-X360-G1-EE-PALMREST,Palmrest Repair,15
937247-001,,
REPAIR-HP-11-X360-G1-EE-TRACKPAD,Trackpad Repair,15
928084-001,,
REPAIR-HP-11-X360-G1-EE-BOTTOMCASE,Bottomcase Repair,30
928079-001,,
REPAIR-HP-11-X360-G1-EE-BATTERY,Battery Repair,30
917725-855,,
REPAIR-HP-11-X360-G1-EE-POWER-BOARD,I/O Board Repair,15
928083-001,,
REPAIR-HP-11-X360-G1-EE-SPEAKERS,Speaker Repair,15
928586-001,,
REPAIR-HP-11-X360-G1-EE-IO-BOARD,I/o Board Repair,15
928082-001,,
REPAIR-HP-11-X360-G1-EE-WIFI-CARD,Wifi Card Repair,15
860883-001,,
REPAIR-HP-11-X360-G1-EE-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-11-X360-G1-EE-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-11-X360-G1-EE-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-11-X360-G1-EE-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-11-X360-G1-EE-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-11-X360-G1-EE-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-HP-14-G1,Full Unit Repair for HP 14 G1,
HP-14-G1-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-14-G1-LCD,LCD Repair,15
B140XTN03.6-HW:2A-FW:1,,
LTN140AT28-D01,,
B140XTN03.6-HW:1A-FW:1,,
REPAIR-HP-14-G1-BEZEL,Bezel Repair,15
769726-001,,
REPAIR-HP-14-G1-TOPCOVER,Topcover Repair,30
769725-001,,
REPAIR-HP-14-G1-CAMERA-MIC,Webcam Repair,15
708231-281,,
REPAIR-HP-14-G1-LVDS,LVDS Cable Repair,30
DD0Y01LC011,,
740145-001,,
REPAIR-HP-14-G1-HINGESET,Hinge Repair,30
740147-001,,
REPAIR-HP-14-G1-CABLE-RESEAT,Cable Reseat,15
N/A,,
HP-14-G1-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-14-G1-PALMREST,Palmrest Repair,15
740172-001,,
743681-001,,
34Y01TSTP00,,
REPAIR-HP-14-G1-BOTTOMCASE,Bottomcase Repair,30
769728-001,,
REPAIR-HP-14-G1-BATTERY,Battery Repair,30
738392-002,,
738392-005,,
738075-421,,
  A2304XL,,
REPAIR-HP-14-G1-DC-JACK,DC Jack Repair,15
740148-001,,
REPAIR-HP-14-G1-WIFI-CARD,Wifi Card Repair,15
676786-001,,
676786-005,,
REPAIR-HP-14-G1-SPEAKERS,Speaker Repair,15
740154-001,,
REPAIR-HP-14-G1-SD-READER,SD Card Reader Repair,15
740151-001,,
REPAIR-HP-14-G1-TRACKPAD,Trackpad Repair,30
HP-14G1-TOUCHPAD,,
REPAIR-HP-14-G1-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-14-G1-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-14-G1-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-14-G1-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-14-G1-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-14-G1-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-HP-14-G3,Full Unit Repair for HP 14 G3,
HP-14-G3-DISPLAY-ASSEMBLY,Display Assembly,
REPAIR-HP-14-G3-LCD,LCD Repair,15
788509-001,,
N140BGA-EA3REV.C1,,
N140BGE-EA3-REV.C1(T/B),,
 LP140WH8-TPD2,,
 N140BGE-E33-REV.C2,,
REPAIR-HP-14-G3-LCD-TOUCH,Touchscreen Repair,15
788508-001,,
B140HTT01.0-HW:1A/FW:1,,
REPAIR-HP-14-G3-BEZEL,Bezel Repair,15
788507-001,,
REPAIR-HP-14-G3-TOPCOVER,Topcover Repair,30
788505-001,,
834905-001,,
REPAIR-HP-14-G3-TOPCOVER-TOUCH,Topcover Repair (Touchscreen),30
788506-001,,
REPAIR-HP-14-G3-CAMERA-MIC,Webcam Repair,15
787736-001,,
REPAIR-HP-14-G3-LVDS,LVDS Cable Repair,30
787709-001,,
DD0Y09LC010,,
DD0Y09LC000,,
REPAIR-HP-14-G3-LVDS-TOUCH,LVDS Cable Repair (Touchscreen),30
787710-001,,
REPAIR-HP-14-G3-HINGESET,Hinge Repair,30
787712-001,,
REPAIR-HP-14-G3-HINGESET-TOUCH,Hinge Repair (Touchscreen),30
787713-001,,
REPAIR-HP-14-G3-CABLE-RESEAT,Cable Reseat,15
N/A,,
HP-14-G3-TOPCASE-ASSEMBLY,Display Assembly,
REPAIR-HP-14-G3-PALMREST,Palmrest Repair,15
788511-001,,
REPAIR-HP-14-G3-BOTTOMCASE,Bottomcase Repair,30
788503-001,,
REPAIR-HP-14-G3-BATTERY,Battery Repair,30
774159-001,,
REPAIR-HP-14-G3-DC-JACK,DC Jack Repair,15
790635-001,,
REPAIR-HP-14-G3-WIFI-CARD,Wifi Card Repair,15
755529-001,,
REPAIR-HP-14-G3-SPEAKERS,Speaker Repair,15
787723-001,,
REPAIR-HP-14-G3-TRACKPAD,Trackpad Repair,30
787716-001,,
REPAIR-HP-14-G3-TRACKPAD-CABLE,Trackpad Cable Repair,15
HP14-G3-TP-CABLE,,
REPAIR-HP-14-G3-IO-BOARD,I/O Board Repair,15
787714-001,,
REPAIR-HP-14-G3-MISSING-KEY,Key Cap Replacement,15
N/A,,
REPAIR-HP-14-G3-MOTHERBOARD,Motherboard Repair,30
N/A,,
REPAIR-HP-14-G3-OS-RESTORE,Operating System Restore,30
N/A,,
REPAIR-HP-14-G3-CHARGING-PORT-REMOVAL,Charging Port Removal,15
N/A,,
REPAIR-HP-14-G3-HPJ-REMOVAL,Headphone Jack Removal,15
N/A,,
REPAIR-HP-14-G3-CABLE-RESEAT,Cable Reseat,15
N/A,,
,,
REPAIR-HP-14-G4,Full Unit Repair for HP 14 G4,
HP-14-G4-DISPLAY-ASSEMBLY,Display Assembly,
HP-14-G4-LCD,LCD Repair,15
788509-001,,
N140BGA-EA3REV.C1,,
 LP140WH8-TPD2,,
 N140BGE-E33-REV.C2,,
N140BGE-E33-REV.C3,,
N140BGE-E33-REV.C1,,
LP140WH8-TPH2,,
 N140BGE-E33,,
REPAIR-HP-14-G4-BEZEL,Bezel Repair,15
834907-001,,
REPAIR-HP-14-G4-TOPCOVER,Topcover Repair,30
834905-001,,
788505-001,,
REPAIR-HP-14-G4-WEBCAM-MIC,Webcam Repair,15
834912-001,,
REPAIR-HP-14-G4-LVDS,LVDS Cable Repair,30
834908-001,,
REPAIR-HP-14-G4-HINGESET,Hinge Repair,30
834909-001,,
REPAIR-HP-14-G4-CABLE-RESEAT,Cable Reseat,15
N/A,,
HP-14-G4-TOPCASE-ASSEMBLY,Topcase Assembly,
REPAIR-HP-14-G4-PALMREST,Palmrest Repair,15
834913-001,,
REPAIR-HP-14-G4-BOTTOMCASE,Bottomcase Repair,30
834906-001,,
REPAIR-HP-14-G4-BATTERY,Battery Repair,30
